"","CovTyp","Site","Sample.Typ","SiteSamTyp","area.sqft"
"1","ivy","WR","not.surveyed","WR.not.surveyed",4124.3
"2","grass","WR","grass","WR.grass",1273.37
"3","grass","WR","grass","WR.grass",345.09
"4","mulch","WR","mulch","WR.mulch",108.72
"5","mulch","WR","mulch","WR.mulch",175.67
"6","grass","WR","grass","WR.grass",398.37
"7","mulch","WR","mulch","WR.mulch",2124.69
"8","grass","WR","grass","WR.grass",342.29
"9","grass","WR","grass","WR.grass",137.46
"10","grass","WR","grass","WR.grass",214.2
"11","grass","WR","grass","WR.grass",242.62
"12","mulch","WR","mulch","WR.mulch",845.29
"13","grass","WR","grass","WR.grass",502.78
"14","grass","WR","grass","WR.grass",4234.31
"15","mulch","WR","mulch","WR.mulch",342.29
"16","ivy","WR","not.surveyed","WR.not.surveyed",1321.59
"17","ivy","WR","not.surveyed","WR.not.surveyed",791.79
"18","ivy","WR","not.surveyed","WR.not.surveyed",9532.52
"19","dense.veg","WR","not.surveyed","WR.not.surveyed",5955.03
"20","grass","WR","grass","WR.grass",756.16
"21","dirt.litter","WR","mulch","WR.mulch",581.14
"22","grass","WR","grass","WR.grass",1025.05
"23","grass","WR","grass","WR.grass",255.1
"24","mulch","WR","mulch","WR.mulch",63.94
"25","ivy","VV","not.surveyed","VV.not.surveyed",698.58
"26","grass","VV","grass","VV.grass",4546.03
"27","dense.veg","VV","not.surveyed","VV.not.surveyed",431.09
"28","grass","VV","grass","VV.grass",846.8
"29","dense.veg","VV","not.surveyed","VV.not.surveyed",321.2
"30","dense.veg","VV","not.surveyed","VV.not.surveyed",76.32
"31","ivy","VV","not.surveyed","VV.not.surveyed",564.14
"32","dense.veg","VV","not.surveyed","VV.not.surveyed",130.57
"33","mulch","VV","mulch","VV.mulch",120.66
"34","mulch","VV","mulch","VV.mulch",38
"35","mulch","VV","mulch","VV.mulch",113.24
"36","mulch","VV","mulch","VV.mulch",87.62
"37","ivy","VV","not.surveyed","VV.not.surveyed",143.48
"38","mulch","VV","mulch","VV.mulch",393.21
"39","mulch","VV","mulch","VV.mulch",194.61
"40","mulch","VV","mulch","VV.mulch",216.79
"41","mulch","VV","mulch","VV.mulch",94.18
"42","mulch","VV","mulch","VV.mulch",247.89
"43","grass","VV","grass","VV.grass",2442.22
"44","mulch","VV","mulch","VV.mulch",308.17
"45","mulch","VV","mulch","VV.mulch",508.16
"46","grass","VV","grass","VV.grass",410.64
"47","mulch","VV","mulch","VV.mulch",715.8
"48","mulch","VV","mulch","VV.mulch",351.44
"49","mulch","OP","mulch","OP.mulch",2622.3
"50","ivy","OP","not.surveyed","OP.not.surveyed",149.94
"51","ivy","OP","not.surveyed","OP.not.surveyed",203.55
"52","ivy","OP","not.surveyed","OP.not.surveyed",206.13
"53","ivy","OP","not.surveyed","OP.not.surveyed",515.27
"54","ivy","OP","not.surveyed","OP.not.surveyed",533.46
"55","ivy","OP","not.surveyed","OP.not.surveyed",194.18
"56","ivy","OP","not.surveyed","OP.not.surveyed",195.04
"57","ivy","OP","not.surveyed","OP.not.surveyed",190.95
"58","ivy","OP","not.surveyed","OP.not.surveyed",696.43
"59","ivy","OP","not.surveyed","OP.not.surveyed",103.33
"60","ivy","OP","not.surveyed","OP.not.surveyed",201.93
"61","ivy","OP","not.surveyed","OP.not.surveyed",576.84
"62","mulch","OP","mulch","OP.mulch",196.44
"63","grass","OP","grass","OP.grass",625.28
"64","mulch","OP","mulch","OP.mulch",189.12
"65","grass","OP","grass","OP.grass",4294.58
"66","ivy","OP","not.surveyed","OP.not.surveyed",186.86
"67","mulch","OP","mulch","OP.mulch",346.92
"68","mulch","OP","mulch","OP.mulch",576.73
"69","mulch","OP","mulch","OP.mulch",298.27
"70","mulch","OP","mulch","OP.mulch",1419.01
"71","ivy","OP","not.surveyed","OP.not.surveyed",2356
"72","ivy","OP","not.surveyed","OP.not.surveyed",1175.85
"73","ivy","OP","not.surveyed","OP.not.surveyed",8592.72
"74","mulch","OP","mulch","OP.mulch",388.47
"75","grass","OP","grass","OP.grass",140.68
"76","mulch","OP","mulch","OP.mulch",507.52
"77","ivy","OP","not.surveyed","OP.not.surveyed",2514.56
"78","ivy","OP","not.surveyed","OP.not.surveyed",10406.01
"79","mulch","OP","mulch","OP.mulch",321.41
"80","mulch","OP","mulch","OP.mulch",332.93
"81","mulch","OP","mulch","OP.mulch",272.87
"82","grass","OP","grass","OP.grass",189.77
"83","grass","OP","grass","OP.grass",303.65
"84","mulch","OP","mulch","OP.mulch",69.75
"85","mulch","OP","mulch","OP.mulch",72.01
"86","grass","OP","grass","OP.grass",707.4
"87","mulch","OP","mulch","OP.mulch",442.72
"88","mulch","OP","mulch","OP.mulch",51.34
"89","grass","OP","grass","OP.grass",161.67
"90","mulch","OP","mulch","OP.mulch",452.95
"91","mulch","OP","mulch","OP.mulch",133.04
"92","mulch","OP","mulch","OP.mulch",125.08
"93","grass","OP","grass","OP.grass",350.47
"94","grass","OP","grass","OP.grass",772.63
"95","grass","OP","grass","OP.grass",42.84
"96","grass","OP","grass","OP.grass",66.41
"97","grass","OP","grass","OP.grass",134.76
"98","grass","OP","grass","OP.grass",2047.4
"99","dense.veg","OP","not.surveyed","OP.not.surveyed",746.05
"100","ivy","OP","not.surveyed","OP.not.surveyed",204.62
"101","ivy","OP","not.surveyed","OP.not.surveyed",183.09
"102","ivy","OP","not.surveyed","OP.not.surveyed",197.73
"103","ivy","OP","not.surveyed","OP.not.surveyed",199.78
"104","dense.veg","OP","not.surveyed","OP.not.surveyed",282.23
"105","grass","OP","grass","OP.grass",1815.55
"106","ivy","OP","not.surveyed","OP.not.surveyed",196.76
"107","ivy","OP","not.surveyed","OP.not.surveyed",191.92
"108","ivy","OP","not.surveyed","OP.not.surveyed",204.19
"109","ivy","OP","not.surveyed","OP.not.surveyed",184.28
"110","ivy","OP","not.surveyed","OP.not.surveyed",174.59
"111","dirt.litter","PS","unmanaged","PS.unmanaged",5877.74
"112","dirt.litter","PS","unmanaged","PS.unmanaged",7897.05
"113","grass","PS","grass","PS.grass",6591.28
"114","dirt.litter","PS","mulch","PS.mulch",645.51
"115","grass","PS","grass","PS.grass",1631.38
"116","mulch","PS","mulch","PS.mulch",5987.53
"117","grass","PS","grass","PS.grass",1426.54
"118","mulch","PS","mulch","PS.mulch",874.35
"119","grass","PS","grass","PS.grass",412.58
"120","mulch","PS","mulch","PS.mulch",1335.8
"121","grass","PS","grass","PS.grass",149.51
"122","grass","PS","grass","PS.grass",3543.91
"123","mulch","PS","mulch","PS.mulch",5195.52
"124","mulch","PS","mulch","PS.mulch",808.8
"125","grass","PS","grass","PS.grass",101.4
"126","mulch","PS","mulch","PS.mulch",7673.05
"127","mulch","PS","mulch","PS.mulch",1400.28
"128","grass","PS","grass","PS.grass",4168
"129","mulch","PS","mulch","PS.mulch",1924.69
"130","dirt.litter","PS","unmanaged","PS.unmanaged",1868.4
"131","grass","PS","grass","PS.grass",2901.41
"132","mulch","FC","mulch","FC.mulch",127.98
"133","mulch","FC","mulch","FC.mulch",58.34
"134","mulch","FC","mulch","FC.mulch",200.42
"135","mulch","FC","mulch","FC.mulch",271.14
"136","mulch","FC","mulch","FC.mulch",45.53
"137","mulch","FC","mulch","FC.mulch",830.11
"138","mulch","FC","mulch","FC.mulch",121.74
"139","mulch","FC","mulch","FC.mulch",142.84
"140","mulch","FC","mulch","FC.mulch",469.84
"141","mulch","FC","mulch","FC.mulch",4768.95
"142","grass","FC","grass","FC.grass",1405.12
"143","mulch","FC","mulch","FC.mulch",9493.55
"144","dirt.litter","22M","mulch","22M.mulch",163.61
"145","dirt.litter","22M","mulch","22M.mulch",280.83
"146","dirt.litter","22M","mulch","22M.mulch",315.81
"147","dirt.litter","22M","mulch","22M.mulch",290.63
"148","dirt.litter","22M","mulch","22M.mulch",1236.24
"149","dense.veg","22M","mulch","22M.mulch",126.58
"150","dense.veg","22M","mulch","22M.mulch",1712.11
"151","mulch","22M","mulch","22M.mulch",208.39
"152","dirt.litter","22M","mulch","22M.mulch",822.69
"153","dirt.litter","22M","mulch","22M.mulch",325.29
"154","dirt.litter","22M","mulch","22M.mulch",96.44
"155","grass","22M","grass","22M.grass",930.43
"156","grass","22M","grass","22M.grass",122.17
"157","dense.veg","22M","not.surveyed","22M.not.surveyed",2411.87
"158","dirt.litter","22M","mulch","22M.mulch",183.74
"159","dirt.litter","22M","mulch","22M.mulch",344.88
"160","dirt.litter","22M","mulch","22M.mulch",2901.63
"161","dirt.litter","22M","mulch","22M.mulch",2727.25
"162","dirt.litter","22M","mulch","22M.mulch",183.52
"163","dirt.litter","22M","unmanaged","22M.unmanaged",3063.95
"164","ivy","22M","not.surveyed","22M.not.surveyed",6065.89
"165","grass","22M","grass","22M.grass",3406.45
"166","grass","22M","grass","22M.grass",1195.01
"167","dirt.litter","22M","mulch","22M.mulch",244.13
"168","ivy","22M","not.surveyed","22M.not.surveyed",727.53
"169","ivy","22M","not.surveyed","22M.not.surveyed",687.81
"170","dirt.litter","22M","mulch","22M.mulch",161.89
"171","dirt.litter","22M","mulch","22M.mulch",679.1
"172","grass","22M","grass","22M.grass",721.94
"173","dirt.litter","22M","mulch","22M.mulch",1440.1
"174","dirt.litter","22M","mulch","22M.mulch",667.36
"175","dirt.litter","22M","mulch","22M.mulch",2039.87
"176","dirt.litter","22M","mulch","22M.mulch",647.66
"177","dirt.litter","22M","mulch","22M.mulch",1190.49
"178","mulch","22M","mulch","22M.mulch",390.84
"179","grass","22M","grass","22M.grass",7545.18
"180","dirt.litter","22M","mulch","22M.mulch",176.85
"181","dirt.litter","22M","mulch","22M.mulch",627.32
"182","dense.veg","22M","not.surveyed","22M.not.surveyed",79.87
"183","grass","22M","grass","22M.grass",5232.55
"184","dirt.litter","22M","mulch","22M.mulch",183.96
"185","dirt.litter","22M","mulch","22M.mulch",854.44
"186","dirt.litter","22M","mulch","22M.mulch",520.76
"187","dirt.litter","22M","mulch","22M.mulch",163.61
"188","ivy","22M","not.surveyed","22M.not.surveyed",705.25
"189","dirt.litter","22M","mulch","22M.mulch",131.32
"190","dirt.litter","22M","mulch","22M.mulch",370.17
"191","dirt.litter","22M","mulch","22M.mulch",92.46
"192","dirt.litter","22M","unmanaged","22M.unmanaged",4428.27
"193","dirt.litter","22M","mulch","22M.mulch",702.02
"194","grass","22M","grass","22M.grass",703.42
"195","grass","22M","grass","22M.grass",411.5
"196","grass","22M","grass","22M.grass",1458.29
"197","ivy","22M","not.surveyed","22M.not.surveyed",111.62
"198","dirt.litter","22M","mulch","22M.mulch",449.72
"199","dense.veg","22M","not.surveyed","22M.not.surveyed",10950.45
"200","dense.veg","22M","not.surveyed","22M.not.surveyed",6613.78
"201","dirt.litter","22M","mulch","22M.mulch",294.5
"202","grass","22M","grass","22M.grass",371.46
"203","grass","20M","grass","20M.grass",3443.59
"204","dirt.litter","20M","mulch","20M.mulch",290.41
"205","grass","20M","grass","20M.grass",1215.03
"206","grass","20M","grass","20M.grass",134.87
"207","grass","20M","grass","20M.grass",652.62
"208","grass","20M","grass","20M.grass",641.85
"209","mulch","20M","mulch","20M.mulch",189.23
"210","mulch","20M","mulch","20M.mulch",1041.41
"211","mulch","20M","mulch","20M.mulch",621.4
"212","mulch","20M","mulch","20M.mulch",98.38
"213","mulch","20M","mulch","20M.mulch",68.46
"214","mulch","20M","mulch","20M.mulch",179.65
"215","grass","20M","grass","20M.grass",6297.75
"216","dirt.litter","20M","mulch","20M.mulch",2178.18
"217","dirt.litter","20M","mulch","20M.mulch",602.67
"218","ivy","20M","not.surveyed","20M.not.surveyed",574.04
"219","dirt.litter","20M","mulch","20M.mulch",360.91
"220","dirt.litter","20M","mulch","20M.mulch",2161.07
"221","grass","20M","grass","20M.grass",580.07
"222","dirt.litter","20M","mulch","20M.mulch",214.85
"223","dirt.litter","20M","mulch","20M.mulch",142.08
"224","ivy","20M","not.surveyed","20M.not.surveyed",534.54
"225","mulch","20M","mulch","20M.mulch",567.9
"226","mulch","20M","mulch","20M.mulch",955.4
"227","grass","20M","grass","20M.grass",318.07
"228","grass","20M","grass","20M.grass",1749.46
"229","dirt.litter","20M","mulch","20M.mulch",8643.42
"230","grass","20M","grass","20M.grass",667.69
"231","dirt.litter","20M","mulch","20M.mulch",5549.55
"232","grass","20M","grass","20M.grass",3009.16
"233","dirt.litter","20M","mulch","20M.mulch",1092.86
"234","grass","20M","grass","20M.grass",1010.62
"235","grass","20M","grass","20M.grass",1973.67
"236","dirt.litter","20M","mulch","20M.mulch",1907.47
"237","ivy","CO","not.surveyed","CO.not.surveyed",534.97
"238","dense.veg","CO","not.surveyed","CO.not.surveyed",282.45
"239","mulch","CO","mulch","CO.mulch",179.97
"240","dirt.litter","CO","mulch","CO.mulch",457.57
"241","ivy","CO","not.surveyed","CO.not.surveyed",56.94
"242","ivy","CO","not.surveyed","CO.not.surveyed",440.24
"243","mulch","CO","mulch","CO.mulch",68.78
"244","ivy","CO","not.surveyed","CO.not.surveyed",51.02
"245","ivy","CO","not.surveyed","CO.not.surveyed",285.57
"246","dense.veg","CO","not.surveyed","CO.not.surveyed",304.73
"247","mulch","CO","mulch","CO.mulch",320.76
"248","grass","CO","grass","CO.grass",701.48
"249","mulch","CO","mulch","CO.mulch",164.15
"250","mulch","CO","mulch","CO.mulch",63.51
"251","ivy","CO","not.surveyed","CO.not.surveyed",366.08
"252","mulch","CO","mulch","CO.mulch",785.98
"253","grass","CO","grass","CO.grass",1076.93
"254","mulch","CO","mulch","CO.mulch",26.37
"255","mulch","CO","mulch","CO.mulch",509.56
"256","dense.veg","CO","not.surveyed","CO.not.surveyed",43.38
"257","grass","CO","grass","CO.grass",743.25
"258","mulch","CO","mulch","CO.mulch",48.33
"259","mulch","CO","mulch","CO.mulch",708.7
"260","ivy","RW","not.surveyed","RW.not.surveyed",1560.66
"261","mulch","RW","mulch","RW.mulch",978.44
"262","mulch","RW","mulch","RW.mulch",179.76
"263","dense.veg","RW","not.surveyed","RW.not.surveyed",537.76
"264","mulch","RW","mulch","RW.mulch",2526.61
"265","water","RW","not.surveyed","RW.not.surveyed",374.15
"266","mulch","RW","mulch","RW.mulch",5049.89
"267","ivy","RW","not.surveyed","RW.not.surveyed",97.84
"268","mulch","RW","mulch","RW.mulch",249.83
"269","dense.veg","RW","not.surveyed","RW.not.surveyed",293.53
"270","ivy","RW","not.surveyed","RW.not.surveyed",737.76
"271","ivy","RW","not.surveyed","RW.not.surveyed",747.02
"272","grass","14B","grass","14B.grass",184.6
"273","ivy","14B","not.surveyed","14B.not.surveyed",1614.26
"274","ivy","14B","not.surveyed","14B.not.surveyed",4170.58
"275","dense.veg","14B","not.surveyed","14B.not.surveyed",185.79
"276","ivy","14B","not.surveyed","14B.not.surveyed",114.74
"277","ivy","14B","not.surveyed","14B.not.surveyed",3289.99
"278","mulch","14B","mulch","14B.mulch",130.89
"279","mulch","14B","mulch","14B.mulch",85.9
"280","mulch","14B","mulch","14B.mulch",184.6
"281","mulch","14B","mulch","14B.mulch",1707.26
"282","mulch","BM","mulch","BM.mulch",1943.96
"283","grass","BM","grass","BM.grass",2624.56
"284","dirt.litter","BM","not.surveyed","BM.not.surveyed",643.14
"285","mulch","BM","mulch","BM.mulch",845.83
"286","ivy","BM","not.surveyed","BM.not.surveyed",63.4
"287","ivy","BM","not.surveyed","BM.not.surveyed",939.37
"288","mulch","BM","mulch","BM.mulch",96.34
"289","mulch","BM","mulch","BM.mulch",3730.34
"290","mulch","BM","mulch","BM.mulch",892.65
"291","mulch","BM","mulch","BM.mulch",3671.46
"292","ivy","BM","not.surveyed","BM.not.surveyed",1096.41
"293","mulch","BM","mulch","BM.mulch",82.88
"294","mulch","BM","mulch","BM.mulch",1025.05
"295","mulch","BM","mulch","BM.mulch",4522.03
"296","mulch","BM","mulch","BM.mulch",1028.49
"297","mulch","BM","mulch","BM.mulch",496.22
"298","mulch","20E","mulch","20E.mulch",1376.06
"299","dirt.litter","20E","mulch","20E.mulch",571.46
"300","grass","20E","grass","20E.grass",115.28
"301","grass","20E","grass","20E.grass",4011.06
"302","ivy","20E","unmanaged","20E.unmanaged",2256.98
"303","dirt.litter","20E","mulch","20E.mulch",616.23
"304","ivy","20E","not.surveyed","20E.not.surveyed",189.23
"305","dirt.litter","20E","mulch","20E.mulch",2041.27
"306","dense.veg","20E","unmanaged","20E.unmanaged",268.67
"307","dense.veg","20E","unmanaged","20E.unmanaged",70.61
"308","mulch","22E","mulch","22E.mulch",58.13
"309","dirt.litter","22E","unmanaged","22E.unmanaged",2884.08
"310","dense.veg","22E","unmanaged","22E.unmanaged",2254.72
"311","mulch","22E","mulch","22E.mulch",306.66
"312","mulch","22E","mulch","22E.mulch",80.73
"313","dirt.litter","22E","unmanaged","22E.unmanaged",2028.57
"314","mulch","22E","mulch","22E.mulch",1412.66
"315","mulch","22E","mulch","22E.mulch",27.99
"316","dirt.litter","22E","unmanaged","22E.unmanaged",4272.52
"317","dense.veg","22E","unmanaged","22E.unmanaged",570.81
"318","mulch","22E","mulch","22E.mulch",309.57
"319","mulch","22E","mulch","22E.mulch",296.44
"320","dirt.litter","IB","mulch","IB.mulch",229.7
"321","mulch","IB","mulch","IB.mulch",492.77
"322","mulch","IB","mulch","IB.mulch",1194.15
"323","mulch","IB","mulch","IB.mulch",1588.86
"324","mulch","IB","mulch","IB.mulch",9122.63
"325","mulch","I1","mulch","I1.mulch",315.6
"326","mulch","I1","mulch","I1.mulch",616.23
"327","grass","I1","grass","I1.grass",2155.37
"328","mulch","I1","mulch","I1.mulch",305.05
"329","mulch","I1","mulch","I1.mulch",48.33
"330","mulch","I1","mulch","I1.mulch",56.4
"331","mulch","I1","mulch","I1.mulch",351.76
"332","grass","I1","grass","I1.grass",311.29
"333","mulch","I1","mulch","I1.mulch",4299.64
"334","grass","I1","grass","I1.grass",6339.3
"335","mulch","I1","mulch","I1.mulch",58.23
"336","mulch","I1","mulch","I1.mulch",58.23
"337","mulch","I1","mulch","I1.mulch",58.23
"338","mulch","I1","mulch","I1.mulch",58.23
"339","mulch","I1","mulch","I1.mulch",58.23
"340","grass","I1","grass","I1.grass",256.93
"341","grass","I1","grass","I1.grass",394.07
"342","mulch","I1","mulch","I1.mulch",336.8
"343","mulch","I1","mulch","I1.mulch",252.31
"344","mulch","I1","mulch","I1.mulch",2010.7
"345","grass","I1","grass","I1.grass",1660.44
"346","mulch","I1","mulch","I1.mulch",541.42
"347","mulch","I1","mulch","I1.mulch",807.29
"348","grass","I1","grass","I1.grass",2880.85
"349","mulch","I1","mulch","I1.mulch",163.83
"350","mulch","I1","mulch","I1.mulch",770.37
"351","grass","I1","grass","I1.grass",289.76
"352","mulch","I1","mulch","I1.mulch",612.14
"353","grass","I1","grass","I1.grass",1363.79
"354","mulch","I1","mulch","I1.mulch",536.37
"355","grass","I1","grass","I1.grass",1576.91
"356","grass","I1","grass","I1.grass",461.23
"357","mulch","I1","mulch","I1.mulch",777.37
"358","mulch","I1","mulch","I1.mulch",542.61
"359","grass","I1","grass","I1.grass",3773.83
"360","mulch","I1","mulch","I1.mulch",1167.78
"361","mulch","I1","mulch","I1.mulch",884.26
"362","mulch","I1","mulch","I1.mulch",2601.42
"363","grass","I1","grass","I1.grass",2495.83
"364","grass","I1","grass","I1.grass",645.3
"365","mulch","I1","mulch","I1.mulch",182.23
"366","mulch","I1","mulch","I1.mulch",755.63
"367","mulch","I1","mulch","I1.mulch",1205.67
"368","grass","I1","grass","I1.grass",1211.69
"369","mulch","I2","mulch","I2.mulch",117.76
"370","mulch","I2","mulch","I2.mulch",116.36
"371","mulch","I2","mulch","I2.mulch",2285.61
"372","mulch","I2","mulch","I2.mulch",346.49
"373","mulch","I2","mulch","I2.mulch",130.57
"374","mulch","I2","mulch","I2.mulch",38.97
"375","mulch","I2","mulch","I2.mulch",1205.13
"376","grass","I2","grass","I2.grass",67.49
"377","grass","I2","grass","I2.grass",254.46
"378","mulch","I2","mulch","I2.mulch",749.6
"379","grass","I2","grass","I2.grass",1295.76
"380","mulch","I2","mulch","I2.mulch",71.9
"381","grass","I2","grass","I2.grass",191.71
"382","grass","I2","grass","I2.grass",5730.71
"383","mulch","I2","mulch","I2.mulch",101.83
"384","grass","I2","grass","I2.grass",4562.39
"385","grass","I2","grass","I2.grass",1791.01
"386","grass","I2","grass","I2.grass",4243.78
"387","grass","I2","grass","I2.grass",915.58
"388","grass","I2","grass","I2.grass",3003.02
"389","grass","I2","grass","I2.grass",1087.8
"390","grass","I2","grass","I2.grass",299.88
"391","grass","I2","grass","I2.grass",5955.89
"392","grass","I2","grass","I2.grass",196.12
"393","grass","I2","grass","I2.grass",203.11
"394","grass","I2","grass","I2.grass",176.74
"395","grass","I2","grass","I2.grass",444.33
"396","grass","I2","grass","I2.grass",882.43
"397","mulch","DE","mulch","DE.mulch",919.13
"398","mulch","DE","mulch","DE.mulch",1705.86
"399","mulch","DE","mulch","DE.mulch",1727.61
"400","dense.veg","DE","not.surveyed","DE.not.surveyed",317
"401","mulch","DE","mulch","DE.mulch",236.7
"402","grass","DE","grass","DE.grass",949.38
"403","mulch","DE","mulch","DE.mulch",3982.97
"404","mulch","DE","mulch","DE.mulch",1391.02
"405","mulch","DE","mulch","DE.mulch",3695.04
"406","mulch","DE","mulch","DE.mulch",129.6
"407","mulch","DE","mulch","DE.mulch",230.35
"408","mulch","DE","mulch","DE.mulch",263.29
"409","mulch","DE","mulch","DE.mulch",1167.67
"410","dirt.litter","DE","mulch","DE.mulch",691.04
"411","dirt.litter","DE","mulch","DE.mulch",4063.38
"412","ivy","DE","not.surveyed","DE.not.surveyed",7084.05
"413","ivy","DE","not.surveyed","DE.not.surveyed",5262.58
"414","mulch","DE","mulch","DE.mulch",2321.67
"415","mulch","DE","mulch","DE.mulch",176.53
"416","mulch","DE","mulch","DE.mulch",426.47
"417","dense.veg","DE","not.surveyed","DE.not.surveyed",142.51
"418","mulch","DE","mulch","DE.mulch",352.84
"419","mulch","EG","mulch","EG.mulch",625.92
"420","mulch","EG","mulch","EG.mulch",1710.06
"421","mulch","EG","mulch","EG.mulch",42.19
"422","mulch","EG","mulch","EG.mulch",2367.09
"423","dense.veg","EG","not.surveyed","EG.not.surveyed",1975.61
"424","mulch","EG","mulch","EG.mulch",45.42
"425","mulch","EG","mulch","EG.mulch",51.67
"426","water","EG","not.surveyed","EG.not.surveyed",818.49
"427","dirt.litter","EG","not.surveyed","EG.not.surveyed",8026.86
"428","dense.veg","EG","unmanaged","EG.unmanaged",9533.38
"429","mulch","EG","mulch","EG.mulch",745.08
"430","mulch","EG","mulch","EG.mulch",114.1
"431","mulch","EG","mulch","EG.mulch",155.22
"432","mulch","EG","mulch","EG.mulch",151.02
"433","mulch","EG","mulch","EG.mulch",115.71
"434","mulch","EG","mulch","EG.mulch",5367.1
"435","mulch","EG","mulch","EG.mulch",1987.99
"436","mulch","EG","mulch","EG.mulch",487.5
"437","grass","EG","grass","EG.grass",156.61
"438","grass","EG","grass","EG.grass",622.48
"439","grass","EG","grass","EG.grass",623.45
"440","mulch","EG","mulch","EG.mulch",328.08
"441","dirt.litter","EG","mulch","EG.mulch",329.05
"442","dense.veg","EG","unmanaged","EG.unmanaged",19961.99
"443","mulch","EG","mulch","EG.mulch",1201.79
"444","mulch","EG","mulch","EG.mulch",80.3
"445","mulch","EG","mulch","EG.mulch",101.29
"446","mulch","EG","mulch","EG.mulch",168.89
"447","mulch","EG","mulch","EG.mulch",3952.18
"448","mulch","EG","mulch","EG.mulch",109.9
"449","dirt.litter","DE","unmanaged","DE.unmanaged",1495.86
"450","ivy","20E","not.surveyed","20E.not.surveyed",1123.64
"451","forest","WR","forest","WR.forest",149066.6
"452","forest","PS","forest","PS.forest",90401.67
"453","mulch","FP","","FP.",2257.08
"454","ivy","FP","","FP.",6378.91
"455","mulch","FP","","FP.",1071.55
"456","mulch","FP","","FP.",131.97
"457","mulch","FP","","FP.",228.52
"458","mulch","FP","","FP.",60.17
"459","grass","FP","","FP.",346.49
"460","grass","FP","","FP.",24
"461","grass","FP","","FP.",1480.04
"462","grass","FP","","FP.",122.49
"463","grass","FP","","FP.",1924.16
"464","mulch","FP","","FP.",1062.72
"465","dirt.litter","FP","","FP.",7925.68
"466","dense.veg","FP","","FP.",3546.17
"467","ivy","FP","","FP.",2306.92
"468","grass","FP","","FP.",1433.21
"469","mulch","FP","","FP.",3082.46
"470","mulch","FP","","FP.",2248.37
"471","grass","FP","","FP.",417.96
"472","mulch","FP","","FP.",164.36
"473","grass","FP","","FP.",53.39
"474","grass","FP","","FP.",410.1
"475","mulch","FP","","FP.",1750.53
"476","grass","FP","","FP.",705.04
"477","gravel","FP","","FP.",575.01
"478","mulch","FP","","FP.",91.39
"479","gravel","FP","","FP.",314.63
"480","grass","FP","","FP.",145.1
"481","mulch","FP","","FP.",606.33
"482","dirt.litter","FP","","FP.",287.72
"483","dense.veg","FP","","FP.",885.12
"484","grass","FP","","FP.",459.94
"485","dense.veg","FP","","FP.",6388.38
"486","grass","FP","","FP.",586.31
"487","mulch","FP","","FP.",378.46
"488","grass","FP","","FP.",239.39
"489","gravel","FP","","FP.",420.65
"490","dirt.litter","MM","","MM.",1934.49
"491","mulch","MM","","MM.",6174.82
"492","mulch","MM","","MM.",1931.8
"493","ivy","MM","","MM.",16923.02
"494","grass","MM","","MM.",3207.54
"495","mulch","MM","","MM.",374.69
"496","mulch","MM","","MM.",720.32
"497","mulch","MM","","MM.",2167.42
"498","mulch","MM","","MM.",38.1
"499","mulch","MM","","MM.",132.72
"500","mulch","MM","","MM.",960.68
"501","mulch","MM","","MM.",1417.61
"502","mulch","MM","","MM.",90.63
"503","mulch","MM","","MM.",4284.36
"504","mulch","MM","","MM.",96.66
"505","mulch","MM","","MM.",8277.88
"506","mulch","MM","","MM.",1998.54
"507","gravel","MM","","MM.",490.19
"508","mulch","MM","","MM.",96.23
"509","mulch","MM","","MM.",212.91
"510","mulch","MM","","MM.",3309.9
"511","mulch","MM","","MM.",4550.44
"512","mulch","MM","","MM.",250.69
"513","mulch","MM","","MM.",151.34
"514","mulch","MM","","MM.",1053.46
"515","mulch","MM","","MM.",8382.61
"516","dirt.litter","MM","","MM.",20977.35
"517","mulch","MM","","MM.",488.36
"518","mulch","MM","","MM.",5769.46
"519","dirt.litter","MM","","MM.",5684.85
"520","gravel","MM","","MM.",142.94
"521","gravel","MM","","MM.",332.6
"522","gravel","MM","","MM.",331.1
"523","mulch","MM","","MM.",762.08
