shrub.species,shrub.common,shrub.scientific,shrub.scientific.update,shrub.common.pretty,shrub.origin,shrub.origin.update,origin.note,total.abundance
abelia.grandiflora,abelia,Abelia grandiflora,,Glossy abelia,non-native,,hybrid; bred in Italy parent species from Asia,0
acer.circinatum,vine.maple,Acer circinatum,,Vine maple,native,,,0
acer.palmatum,japanese.maple,Acer palmatum,,Japanese maple,non-native,,Asia,0
amelanchier.alnifolia,saskatoon,Amelanchier alnifolia,,Saskatoon,native,,,0
arbutus.unedo,strawberry.tree,Arbutus unedo,,Strawberry tree,non-native,,europe,0
arctostaphylos.sp,manzanita,Arctostaphylos sp.,,Manzanita,native,,genus native to western us,0
aucuba.japonica,spotted.laurel,Aucuba japonica,,Spotted laurel,non-native,,Asia,0
berberis.thunbergii,barberry,Berberis thunbergii,,Barberry,non-native,,Asia,0
buxus.sp,boxwood,Buxus sp.,,Boxwood,non-native,,"Europe, South and central america, africa, asia",0
calluna.vulgaris,common.heather,Calluna vulgaris,,Common heather,non-native,,Europe,0
cistaceae.sp,rock.rose,Cistaceae sp.,,Rock rose,ambiguous,non-native,"symbiotic with fungi of genus Tuber; species native to Europe and North America--update, Europe ONLY",0
cornus.alba,tatarian.dogwood,Cornus alba,Cornus sericea gp.,Tatarian dogwood,non-native,,Asia,0
cornus.florida.gp,flowering.dogwood.gp,Cornus florida gp.,,Flowering dogwood gp.,non-native,,southeastern us,0
cornus.sp,dogwood,Cornus alba gp.,Cornus sericea gp.,Shrubby dogwood gp.,ambiguous,non-native,,0
cornus.alba.gp,tatarian.dogwood.gp,Cornus alba gp.,Cornus sericea gp.,Shrubby dogwood gp.,ambiguous,non-native,almost all Asian; v. few native.,0
corylus.sp,hazelnut,Corylus sp.,,Hazelnut,native,,likely corylus cornuta,0
cotoneaster.sp,cotoneaster,Cotoneaster sp.,,Cotoneaster,non-native,,"europe, asia, north africa",0
crataegus.sp,hawthorn,Crataegus sp.,,Hawthorn,ambiguous,,C. douglasii native; many others non-native,0
cytisus.scoparius,scotch.broom,Cytisus scoparius,,Scotch broom,non-native,,Europe,0
daphne.sp,daphne,Daphne sp.,,Daphne,non-native,,"Asia, Europe, africa",0
elaeagnus.commutata,silverberry,Elaeagnus commutata,,Silverberry,native,,,0
enkianthus.campanulatus,enkianthus,Enkianthus campanulatus,,Enkianthus,non-native,,Japan,0
erica.sp,winter.heath,Erica sp.,,Winter heath,non-native,,"Africa, europe",0
escallonia.sp,escallonia,Escallonia sp.,,Escallonia,non-native,,south america,0
euonymus.alatus,winged.euonymus,Euonymus alatus,,Winged euonymus,non-native,,asia,0
euonymus.japonicus,euonymus.japonicus.gp,Euonymus japonicus,,Japanese spindle,non-native,,asia,0
euphorbia.sp,euphorbia,Euphorbia sp.,,Euphorbia,non-native,,Africa,0
forsythia.sp,forsythia,Forsythia sp.,,Forsythia,non-native,,Asia and europe,0
gardenia.sp,gardenia,Gardenia sp.,,Gardenia,non-native,,"africa, asia",0
gaultheria.shallon,salal,Gaultheria shallon,,Salal,native,,,0
hebe.sp,hebe,Hebe sp.,,Hebe,non-native,,"new zealand, south america",0
hibiscus.syriacus,rose.of.sharon,Hibiscus syriacus,,Rose of Sharon (hibiscus),non-native,,asia,0
holodiscus.discolor,oceanspray,Holodiscus discolor,,Oceanspray,native,,,0
hydrangea.sp,hydrangea,Hydrangea sp.,,Hydrangea,non-native,,"asia, eastern us and south america",0
hypericum.calycinum,hypericum,Hypericum calycinum,,St. John's wort,non-native,,,0
ilex.crenata,japanese.holly,Ilex crenata,,Japanese holly,non-native,,asia,0
ilex.sp,holly,Ilex aquifolium gp.,,English holly group,ambiguous,non-native,both native and non native species grown,0
kalmia.latifolia,mountain.laurel,Kalmia latifolia,,Mountain laurel,non-native,,eastern US,0
lavandula.sp,lavender,Lavandula sp.,,Lavender,non-native,,europe,0
leucothoe.fontanesiana,leucothoe,Leucothoe fontanesiana,,Drooping Leucothoe,non-native,,eastern US,0
leycesteria.formosa,leycesteria,Leycesteria formosa,,Himalayan honeysuckle,non-native,,asia,0
lonicera.pileata,shrub.honeysuckle,Lonicera pileata,,Privet honeysuckle,non-native,,asia,0
lonicera.sempervirens.gp,vine.honeysuckle,Lonicera sempervirens gp.,,Trumpet honeysuckle,non-native,,eastern US,0
mahonia.sp,oregon.grape.gp,Mahonia sp.,Berberis Mahonia gp.,Mahonia gp.,ambiguous,,"native species along with natives of asia, central america. Mahonia bealei naturalized but from China.",0
nandina.domestica,heavenly.bamboo,Nandina domestica,,Heavenly bamboo,non-native,,asia,0
oemleria.cerasiformis,indian.plum,Oemleria cerasiformis,,Indian plum,native,,,0
ornamental.conifer,ornamental.conifer,Ornamental conifer,,Ornamental conifer,ambiguous,non-native,"all bred, some derived from natives",0
osmanthus.burkwoodii,burkwood.osmanthus,Osmanthus burkwoodii,Osmanthus x burkwoodii gp.,Burkwood osmanthus,non-native,,hybrid; osmanthus native to asia and southeastern us and central america; Osmanthus delavayi x Osmanthus decorus,0
philadelphus.lewisii,mock.orange,Philadelphus lewisii,,Mock orange,native,,,0
photinia.fraseri,frasers.photinia,Photinia fraseri,Photinia x fraseri gp.,Fraser's Photinia,non-native,,hybrid; photinia native to asia,0
physocarpus.opulifolious,ninebark,Physocarpus opulifolious,Physocarpus opulifolius,Ninebark,non-native,,eastern US,0
pieris.japonica,japanese.pieris,Pieris japonica,,Japanese pieris,non-native,,asia,0
potentilla.fruticosa,white.potentilla,Potentilla fruticosa,Dasiphora fruticosa,White potentilla,native,,,0
prunus.laurocerasus,cherry.laurel,Prunus laurocerasus,,Cherry laurel,non-native,,"asia, europe, middle east",0
prunus.laurocerasus.zabeliana,zabel.laurel,Prunus laurocerasus var. zabeliana,,Zabel laurel,non-native,,"asia, europe, middle east",0
rahpiolepis.sp,indian.hawthorne,Rahpiolepsis indica,Rhaphiolepis indica,Indian hawthorne,non-native,,asia,0
rhododendron.sp,rhododendron,Rhododendron sp.,,Rhododendron,ambiguous,non-native,native species along with species from asia; mostly asian species sold,0
rhus.sp,sumac,Rhus sp.,,Sumac,ambiguous,non-native,native and non-natives cultivated (and crossed)--mostly non-natives sold.,0
ribes.sanguineum,red.flowering.currant,Ribes sanguineum,,Red flowering currant,native,,,0
rosa.sp,rose,Rosa sp.,,Domestic rose,ambiguous,non-native,"cultivated species mostly from southwestern and eastern us, asia, europe, africa; however three native species",0
rosmarinus.officinalis,rosemary,Rosmarinus officinalis,,Rosemary,non-native,,europe,0
rubus.armeniacus,himalayan.blackberry,Rubus armeniacus,Rubus bifrons,Himalayan blackberry,non-native,,armenia and iran,0
rubus.laciniatus,evergreen.blackberry,Rubus laciniatus,,Evergreen blackberry,non-native,,europe,0
rubus.spectabilis,salmonberry,Rubus spectabilis,,Salmonberry,native,,,0
sambucus.sp,elderberry,Sambucus sp.,,Elderberry,ambiguous,,both native and non native species grown,0
sarcococca.confusa,sweet.box,Sarcococca confusa,,Sweet box,non-native,,asia; this genus not recognized in TS but see https://link.springer.com/article/10.1007/s10681-017-1934-0 ,0
spiraea.nipponica,japanese.spiraea,Spiraea nipponica,,Japanese spirea,non-native,,asia,0
spiraea.japonica.gp,spiraea.japonica.gp,Spiraea japonica gp.,,Spiraea japonica gp.,non-native,,mostly non-native cultivar S. japonica and various crosses; may be one or two natives mixed in but unlikely,0
styrax.japonicus,japanese.snowball,Styrax japonicus,,Japanese snowball,non-native,,south america and asia,0
symphoricarpos.sp,snowberry,Symphoricarpos sp.,,Snowberry,native,,"likely, some species from southwestern us",0
syringa.vulgaris,lilac,Syringa vulgaris,,Lilac,non-native,,europe (balkans),0
thuja.occidentalis,arborvitae,Thuja occidentalis,,Arborvitae,non-native,,eastern US,0
unknown.gpB,unknown.gpB,Unknown B gp.,,Unknown B gp.,ambiguous,,,0
unknown.gpC,unknown.gpC,Unknown C gp.,,Unknown C gp.,ambiguous,,,0
unknown.gpF,unknown.gpF,Unknown F gp.,,Unknown F gp.,ambiguous,,,0
unknown.gpG,unknown.gpG,Unknown G gp.,,Unknown G gp.,ambiguous,,,0
unknown.gpJ,unknown.gpJ,Unknown J gp.,,Unknown J gp.,ambiguous,,,0
unknown.gpK,unknown.gpK,Unknown K gp.,,Unknown K gp.,ambiguous,,,0
unknown.gpL,unknown.gpL,Unknown L gp.,,Unknown L gp.,ambiguous,,,0
unknown.gpN,unknown.gpN,Unknown N gp.,,Unknown N gp.,ambiguous,,,0
unknown.gpS,unknown.gpS,Unknown S gp.,,Unknown S gp.,ambiguous,,,0
vaccinium.cyanococcus.gp,blueberry,Vaccinium cyanococcus gp.,Vaccinium sect. Cyanococcus,Blueberry,native,,,0
vaccinium.ovatum,evergreen.huckleberry,Vaccinium ovatum,,Evergreen huckleberry,native,,,0
vaccinium.parvifolium,huckleberry,Vaccinium parvifolium,,Huckleberry,native,,,0
viburnum.davidii,david.viburnum,Viburnum davidii,,David viburnum,non-native,,china; species not recgnized by IT IS but see https://gd.eppo.int/taxon/VIBDV and https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=237932,0
viburnum.plicatum,viburnum.hydrangea,Viburnum plicatum,,Snowball bush,non-native,,china,0
viburnum.tinus,laurustinus,Viburnum tinus,,Laurustinus,non-native,,europe and north africa,0
